run,type,module,name,attrname,attrvalue,value
General-4-20191217-18:55:57-21432,param,,,**.delay2.delay,"0.5 s +  normal(.3 s, .1s)",
General-4-20191217-18:55:57-21432,param,,,**.delay3.delay,"0.5 s +  normal(.3 s, .1s)",
General-4-20191217-18:55:57-21432,param,,,**.server.serviceTime,exponential(.01 s),
General-4-20191217-18:55:57-21432,param,,,**.server1.serviceTime,exponential(.01 s),
General-0-20191217-18:52:38-11668,runattr,,,configname,General,
General-0-20191217-18:52:38-11668,runattr,,,datetime,20191217-18:52:38,
General-0-20191217-18:52:38-11668,runattr,,,experiment,General,
General-0-20191217-18:52:38-11668,runattr,,,inifile,omnetpp.ini,
General-0-20191217-18:52:38-11668,runattr,,,iterationvars,,
General-0-20191217-18:52:38-11668,runattr,,,iterationvarsf,,
General-0-20191217-18:52:38-11668,runattr,,,measurement,,
General-0-20191217-18:52:38-11668,runattr,,,network,my_PQ,
General-0-20191217-18:52:38-11668,runattr,,,processid,11668,
General-0-20191217-18:52:38-11668,runattr,,,repetition,0,
General-0-20191217-18:52:38-11668,runattr,,,replication,#0,
General-0-20191217-18:52:38-11668,runattr,,,resultdir,results,
General-0-20191217-18:52:38-11668,runattr,,,runnumber,0,
General-0-20191217-18:52:38-11668,runattr,,,seedset,0,
General-0-20191217-18:52:38-11668,param,,,**.source.interArrivalTime,exponential(1 s),
General-0-20191217-18:52:38-11668,param,,,**.source1.interArrivalTime,exponential(2 s),
General-0-20191217-18:52:38-11668,param,,,**.source.numJobs,200,
General-0-20191217-18:52:38-11668,param,,,**.source.jobType,0,
General-0-20191217-18:52:38-11668,param,,,**.source1.numJobs,100,
General-0-20191217-18:52:38-11668,param,,,**.source1.jobType,1,
General-0-20191217-18:52:38-11668,param,,,**.delay.delay,"6.5 s + normal(.3 s, .1 s)",
General-0-20191217-18:52:38-11668,param,,,**.delay1.delay,"12.5 s + normal(.3 s, .1s)",
General-0-20191217-18:52:38-11668,param,,,**.delay2.delay,"0.5 s +  normal(.3 s, .1s)",
General-0-20191217-18:52:38-11668,param,,,**.delay3.delay,"0.5 s +  normal(.3 s, .1s)",
General-0-20191217-18:52:38-11668,param,,,**.server.serviceTime,exponential(.01 s),
General-0-20191217-18:52:38-11668,param,,,**.server1.serviceTime,exponential(.01 s),
General-3-20191217-18:55:39-16740,runattr,,,configname,General,
General-3-20191217-18:55:39-16740,runattr,,,datetime,20191217-18:55:39,
General-3-20191217-18:55:39-16740,runattr,,,experiment,General,
General-3-20191217-18:55:39-16740,runattr,,,inifile,omnetpp.ini,
General-3-20191217-18:55:39-16740,runattr,,,iterationvars,,
General-3-20191217-18:55:39-16740,runattr,,,iterationvarsf,,
General-3-20191217-18:55:39-16740,runattr,,,measurement,,
General-3-20191217-18:55:39-16740,runattr,,,network,my_PQ,
General-3-20191217-18:55:39-16740,runattr,,,processid,16740,
General-3-20191217-18:55:39-16740,runattr,,,repetition,3,
General-3-20191217-18:55:39-16740,runattr,,,replication,#3,
General-3-20191217-18:55:39-16740,runattr,,,resultdir,results,
General-3-20191217-18:55:39-16740,runattr,,,runnumber,3,
General-3-20191217-18:55:39-16740,runattr,,,seedset,3,
General-3-20191217-18:55:39-16740,param,,,**.source.interArrivalTime,exponential(1 s),
General-3-20191217-18:55:39-16740,param,,,**.source1.interArrivalTime,exponential(2 s),
General-3-20191217-18:55:39-16740,param,,,**.source.numJobs,200,
General-3-20191217-18:55:39-16740,param,,,**.source.jobType,0,
General-3-20191217-18:55:39-16740,param,,,**.source1.numJobs,100,
General-3-20191217-18:55:39-16740,param,,,**.source1.jobType,1,
General-3-20191217-18:55:39-16740,param,,,**.delay.delay,"6.5 s + normal(.3 s, .1 s)",
General-3-20191217-18:55:39-16740,param,,,**.delay1.delay,"12.5 s + normal(.3 s, .1s)",
General-3-20191217-18:55:39-16740,param,,,**.delay2.delay,"0.5 s +  normal(.3 s, .1s)",
General-3-20191217-18:55:39-16740,param,,,**.delay3.delay,"0.5 s +  normal(.3 s, .1s)",
General-3-20191217-18:55:39-16740,param,,,**.server.serviceTime,exponential(.01 s),
General-3-20191217-18:55:39-16740,param,,,**.server1.serviceTime,exponential(.01 s),
General-0-20191217-18:52:38-11668,scalar,my_PQ.sink,lifeTime:mean,,,27.344041447861
General-0-20191217-18:52:38-11668,attr,my_PQ.sink,lifeTime:mean,interpolationmode,none,
General-0-20191217-18:52:38-11668,attr,my_PQ.sink,lifeTime:mean,title,"lifetime of arrived jobs, mean",
General-0-20191217-18:52:38-11668,attr,my_PQ.sink,lifeTime:mean,unit,s,
General-1-20191217-18:54:37-6936,scalar,my_PQ.sink,lifeTime:mean,,,27.349602422906
General-1-20191217-18:54:37-6936,attr,my_PQ.sink,lifeTime:mean,interpolationmode,none,
General-1-20191217-18:54:37-6936,attr,my_PQ.sink,lifeTime:mean,title,"lifetime of arrived jobs, mean",
General-1-20191217-18:54:37-6936,attr,my_PQ.sink,lifeTime:mean,unit,s,
General-2-20191217-18:54:57-4552,scalar,my_PQ.sink,lifeTime:mean,,,27.339327251484
General-2-20191217-18:54:57-4552,attr,my_PQ.sink,lifeTime:mean,interpolationmode,none,
General-2-20191217-18:54:57-4552,attr,my_PQ.sink,lifeTime:mean,title,"lifetime of arrived jobs, mean",
General-2-20191217-18:54:57-4552,attr,my_PQ.sink,lifeTime:mean,unit,s,
General-3-20191217-18:55:39-16740,scalar,my_PQ.sink,lifeTime:mean,,,27.33622155036
General-3-20191217-18:55:39-16740,attr,my_PQ.sink,lifeTime:mean,interpolationmode,none,
General-3-20191217-18:55:39-16740,attr,my_PQ.sink,lifeTime:mean,title,"lifetime of arrived jobs, mean",
General-3-20191217-18:55:39-16740,attr,my_PQ.sink,lifeTime:mean,unit,s,
General-4-20191217-18:55:57-21432,scalar,my_PQ.sink,lifeTime:mean,,,27.36186970388
General-4-20191217-18:55:57-21432,attr,my_PQ.sink,lifeTime:mean,interpolationmode,none,
General-4-20191217-18:55:57-21432,attr,my_PQ.sink,lifeTime:mean,title,"lifetime of arrived jobs, mean",
General-4-20191217-18:55:57-21432,attr,my_PQ.sink,lifeTime:mean,unit,s,
